file_path,sha256_checksum,file_size_bytes,file_size_mb,source_priority,priority_score,dedup_decision,dedup_rationale,file_type
/workspace/content/rrb-ntpc/study-materials/wikimedia/general-awareness/indian-history/Outline_of_ancient_India/index.html,31bfeb0739cbc02a0666d758b1d3044420defe9941721e86212c435fab1d7e9e,8899,0.01,Official RRB,100,drop,"Near duplicate of /workspace/content/rrb-ntpc/study-materials/wikimedia/general-awareness/economy/Payment_and_settlement_systems_in_India/index.html (similarity: 1.00, lower priority)",text
/workspace/content/rrb-ntpc/study-materials/wikimedia/general-awareness/indian-history/Outline_of_ancient_India/metadata.json,b50a89269f1635f6847a2df81ba978cb28a49b5cab45f2cd8be81572d9be19dd,865,0.0,Official RRB,100,drop,"Near duplicate of /workspace/content/rrb-ntpc/study-materials/wikimedia/general-awareness/economy/Payment_and_settlement_systems_in_India/metadata.json (similarity: 1.00, lower priority)",json
/workspace/content/rrb-ntpc/study-materials/wikimedia/general-awareness/indian-history/Subhas_Chandra_Bose/Subhas_Chandra_Bose.html,b6a39e86199008b8f9677a6dea40e447740300f21c92b689466b4ee2f60bc056,4836,0.0,Official RRB,100,keep,Unique file - no duplicates found,text
/workspace/content/rrb-ntpc/study-materials/wikimedia/general-awareness/indian-history/Subhas_Chandra_Bose/index.html,e059d10e81839d3289f8523f15f001720fa64d008c97bfe36735461ddd31fff8,8849,0.01,Official RRB,100,drop,"Near duplicate of /workspace/content/rrb-ntpc/study-materials/wikimedia/general-awareness/economy/List_of_banks_in_India/index.html (similarity: 1.00, lower priority)",text
/workspace/content/rrb-ntpc/study-materials/wikimedia/general-awareness/indian-history/Subhas_Chandra_Bose/metadata.json,f81ae44d495654bf2155f1576303d9bcd76563972f7d8a13298959bfd47b50b1,850,0.0,Official RRB,100,drop,"Near duplicate of /workspace/content/rrb-ntpc/study-materials/wikimedia/general-awareness/economy/List_of_banks_in_India/metadata.json (similarity: 1.00, lower priority)",json
/workspace/content/rrb-ntpc/study-materials/wikimedia/general-awareness/indian-history/Timeline_of_Indian_history/Timeline_of_Indian_history.html,e5b40e3bf479184b56b9aefd55a7ea7761a6d7ddd26c5118299cb434a6d5acbb,4892,0.0,Official RRB,100,keep,Unique file - no duplicates found,text
/workspace/content/rrb-ntpc/study-materials/wikimedia/general-awareness/indian-history/Timeline_of_Indian_history/index.html,d2cd00ae30c2b58b969c4500ba014aadf13dccfdef47425200b88291625a0274,8919,0.01,Official RRB,100,drop,"Near duplicate of /workspace/content/rrb-ntpc/study-materials/wikimedia/general-awareness/economy/Payment_and_settlement_systems_in_India/index.html (similarity: 1.00, lower priority)",text
/workspace/content/rrb-ntpc/study-materials/wikimedia/general-awareness/indian-history/Timeline_of_Indian_history/metadata.json,21806d6238f84ba5adb0b60d83777328a337ea7cce96bd076627c6f73705095e,871,0.0,Official RRB,100,drop,"Near duplicate of /workspace/content/rrb-ntpc/study-materials/wikimedia/general-awareness/economy/Payment_and_settlement_systems_in_India/metadata.json (similarity: 1.00, lower priority)",json
/workspace/content/rrb-ntpc/study-materials/wikimedia/general-awareness/international-relations/International_relations/International_relations.html,b9f4a284eea2e52708ea2d97cc8a295c7290ee30c77be547c42cb4f006afe5ce,4877,0.0,Official RRB,100,keep,Unique file - no duplicates found,text
/workspace/content/rrb-ntpc/study-materials/wikimedia/general-awareness/international-relations/International_relations/index.html,93351fe41bc3158f0d8ca282c0792879c6d79606ec365a5a47b6e479ae0f2598,8889,0.01,Official RRB,100,drop,"Near duplicate of /workspace/content/rrb-ntpc/study-materials/wikimedia/general-awareness/economy/Payment_and_settlement_systems_in_India/index.html (similarity: 1.00, lower priority)",text
